       2.076749824897e-07       6.982098244648e-01 
       2.614473128502e-07       8.713165335213e-01 
       3.291426659925e-07       1.087341476690e+00 
       4.143660663236e-07       1.356925343333e+00 
       5.216559706799e-07       1.693346961495e+00 
       6.567259577031e-07       2.113177369546e+00 
       8.267689967373e-07       2.637096050726e+00 
       1.040840499676e-06       3.290909536025e+00 
       1.310340554667e-06       4.106822544772e+00 
       1.649621022375e-06       5.125024276066e+00 
       2.076749824897e-06       6.395667981135e+00 
       2.614473128502e-06       7.981341316870e+00 
       3.291426659925e-06       9.960149140542e+00 
       4.143660663236e-06       1.242956056453e+01 
       5.216559706799e-06       1.551120970100e+01 
       6.567259577031e-06       1.935688642514e+01 
       8.267689967373e-06       2.415601199638e+01 
       1.040840499676e-05       3.014496724243e+01 
       1.310340554667e-05       3.761873175646e+01 
       1.649621022375e-05       4.694540544860e+01 
       2.076749824897e-05       5.858432372839e+01 
       2.614473128502e-05       7.310865082475e+01 
       3.291426659925e-05       9.123354859785e+01 
       4.143660663236e-05       1.138512778415e+02 
       5.216559706799e-05       1.420749007537e+02 
       6.567259577031e-05       1.772926183738e+02 
       8.267689967373e-05       2.212351863316e+02 
       1.040840499676e-04       2.760592723557e+02 
       1.310340554667e-04       3.444499722787e+02 
       1.649621022375e-04       4.297458191415e+02 
       2.076749824897e-04       5.360891850417e+02 
       2.614473128502e-04       6.686034399674e+02 
       3.291426659925e-04       8.335947937055e+02 
       4.143660663236e-04       1.038770574386e+03 
       5.216559706799e-04       1.293456744869e+03 
       6.567259577031e-04       1.608787603556e+03 
       8.267689967373e-04       1.997831186877e+03 
       1.040840499676e-03       2.475588936445e+03 
       1.310340554667e-03       3.058717647161e+03 
       1.649621022375e-03       3.764690488124e+03 
       2.076749824897e-03       4.610170852863e+03 
       2.614473128502e-03       5.608362692756e+03 
       3.291426659925e-03       6.765027416704e+03 
       4.143660663236e-03       8.073148514060e+03 
       5.216559706799e-03       9.505678998903e+03 
       6.567259577031e-03       1.100691176179e+04 
       8.267689967373e-03       1.248312950738e+04 
       1.040840499676e-02       1.379335215101e+04 
       1.310340554667e-02       1.474437323746e+04 
       1.649621022372e-02       1.510058413072e+04 
       2.076749807420e-02       1.463245891013e+04 
       2.614460008147e-02       1.323746566724e+04 
       3.289631098325e-02       1.113213011470e+04 
       4.084514089521e-02       9.040554200692e+03 
       4.753177049577e-02       7.848635580353e+03 
       5.238381289260e-02       7.261707987604e+03 
       5.638740607202e-02       6.894462197429e+03 
       5.996316899468e-02       6.616309343260e+03 
       6.329877910583e-02       6.372639676960e+03 
       6.649364162551e-02       6.135985147627e+03 
       6.960739059395e-02       5.891732343114e+03 
       7.267921222021e-02       5.632918601457e+03 
       7.573673180327e-02       5.357913097691e+03 
       7.880056493735e-02       5.069089117322e+03 
       8.188684739554e-02       4.771787931618e+03 
       8.500873460373e-02       4.473336010240e+03 
       8.817733725117e-02       4.182030953196e+03 
       9.140233003983e-02       3.906141277707e+03 
       9.469236166591e-02       3.652978374394e+03 
       9.805533892378e-02       3.428120614264e+03 
       1.014986282542e-01       3.234839257681e+03 
       1.050292014668e-01       3.073744734289e+03 
       1.086537426785e-01       2.942650340033e+03 
       1.123787276603e-01       2.836654186718e+03 
       1.162104831486e-01       2.748480907712e+03 
       1.201552313612e-01       2.669157665804e+03 
       1.242191234587e-01       2.589101885910e+03 
       1.284082647029e-01       2.499606757159e+03 
       1.327287334069e-01       2.394520714028e+03 
       1.371865953358e-01       2.271712471433e+03 
       1.417879149249e-01       2.133793175476e+03 
       1.465387644933e-01       1.987691689854e+03 
       1.514452325037e-01       1.843033323042e+03 
       1.565134318438e-01       1.709731200107e+03 
       1.617495090523e-01       1.595493490319e+03 
       1.671596553831e-01       1.503928785466e+03 
       1.727501205817e-01       1.433662792292e+03 
       1.785272302341e-01       1.378627347865e+03 
       1.844974075410e-01       1.329599528929e+03 
       1.906672003633e-01       1.276926235234e+03 
       1.970433143922e-01       1.213873117717e+03 
       2.036326533055e-01       1.139282058248e+03 
       2.104423668090e-01       1.058010597954e+03 
       2.174799075160e-01       9.785818652284e+02 
       2.247530977179e-01       9.091347526163e+02 
       2.322702072448e-01       8.537479318062e+02 
       2.400400438319e-01       8.108315105079e+02 
       2.480720577099e-01       7.742011121678e+02 
       2.563764625574e-01       7.364579990804e+02 
       2.649643755137e-01       6.931797942591e+02 
       2.738479797000e-01       6.453788311785e+02 
       2.830407136908e-01       5.982824483928e+02 
       2.925574936873e-01       5.572321349556e+02 
       3.024149758848e-01       5.238586835640e+02 
       3.126318688397e-01       4.953113946764e+02 
       3.232293087495e-01       4.669627783038e+02 
       3.342313147766e-01       4.364132603458e+02 
       3.456653473292e-01       4.052358893345e+02 
       3.575630002577e-01       3.767560888036e+02 
       3.699608692776e-01       3.523327807200e+02 
       3.829016551940e-01       3.302025834414e+02 
       3.964355842322e-01       3.079641551523e+02 
       4.106222630068e-01       2.855027193998e+02 
       4.255331390718e-01       2.645389518460e+02 
       4.412548207501e-01       2.457189870522e+02 
       4.578936413531e-01       2.278196433146e+02 
       4.755820673169e-01       2.100700382337e+02 
       4.944879103485e-01       1.932088262654e+02 
       5.148279309846e-01       1.775089702726e+02 
       5.368885548930e-01       1.622525408418e+02 
       5.610585638955e-01       1.474665610482e+02 
       5.878828691157e-01       1.333316916352e+02 
       6.181553788233e-01       1.194621336120e+02 
       6.530888700035e-01       1.058881888321e+02 
       6.946473953258e-01       9.237358560934e+01 
       7.462486955354e-01       7.874326597960e+01 
       8.143680616223e-01       6.470217859095e+01 
